set_name: HSK1

[cards]
[[front]Radical | [back]Meaning | [back]Interpretation]
氵 | shuǐ | Shaped like three water drops. Usually related to water.
讠 | yán | Usually related to language and speech.
钅 | jīn | Usually related to metal
口 | kǒu | Usually related to the mouth
辶 | chuò | Usually related to walking
门 | mén | Usually related to a room or a door
囗 | wéi | Usually means being trapped or besieged
礻 | shì | Variant of “示” a character usually related to deity, sacrificial rites and one’s fortune
阝 | fù | Usually related to a landform or location
亻 | rén | Usually related to a person
女 | nǚ | Usually related to women
饣 | shí | Usually related to food
日 | rì | Usually related to time
目 | mù | Usually related to the eyes
月 | yuè | Usually related to human body or flesh
扌 | shǒu | Usually indicates an action related to a hand
艹 | cǎo | Usually related to grass, trees, or plants
宀 | mián | Usually related to houses

[[back]pinyin | [back]definition | [front]hanzi]
ài | to like, to love | 爱
a | A modal particle used at the end of a sentence as a sign of confirmation or defense | 啊
bā | Eight | 八
bú xiè | Sure (in response to thank you) | 不谢
ba | A modal particle used at the end of a sentence to indicate consultation, a suggestion, request, or command | 吧
bàba | Father | 爸爸
bēizi | Cup, glass | 杯子
běn | A measure word for books | 本
bùshǎo | Quite a few, many | 不少
bú kèqi | You’re welcome, don’t mention it | 不客气
bù | No, not | 不
Běijīng | Beijing, capital of China | 北京
cài | Dish, cuisine | 菜
chá | Tea | 茶
chē | Car, vehicle | 车
chī | To eat | 吃
cíxìng | part of speech | 词性
cíyì | meaning | 词义
cíyǔ | word/phrase | 词语
chī fàn | To eat a meal | 吃饭
chūzūchē | Taxi, cab | 出租车
chábēi | Tea cup | 茶杯
dǎ diànhuà | To make a phone call | 打电话
Dàwèi | David | 大卫
dà | (of age) old | 大
dàxué | College, university | 大学
dàicí | pronoun (pron.) | 代词
dǎchē | Take a taxi | 打车
de | Used after an attribute | 的
diǎn | O’clock | 点
diànnǎo | Computer | 电脑
diànshì | Television | 电视
diànyǐng | Film, movie | 电影
diànyǐngyuàn | cinema | 电影院
dòngcí | verb (v.) | 动词
dōngxi | Thing, stuff | 东西
dōu | Both, all | 都
dú | To read | 读
duìbuqǐ | To be sorry | 对不起
duō | Indicating degree or extent | 多
duōshao | How many, how much | 多少
érzi | Son | 儿子
èr | Two | 二
fàndiàn | Hotel, restaurant | 饭店
fēijī | Airplane | 飞机
fēnzhōng | minute | 分钟
fēn | minute | 分
fùcí | adverb (adv.) | 副词
gāoxìng | Glad, happy | 高兴
gè | A general measure word | 个
gěi | To, To give | 给
gōngzuò | To work; job | 工作
gǒu | Dog | 狗
guó | Country, nation | 国
Hànyǔ | Chinese (language) | 汉语
hǎo | Good, fine | 好
Hànzì | Chinese character | 汉字
hào | (for date of month) number | 号
hē | To drink | 喝
hé | And | 和
Hěn | Very, quite | 很
hòumiàn | back | 后面
hòuzhuì | suffix (suf.) | 后缀
huí | To come/go back, to return | 回
huì | Can, to be able to | 会
Hànzì | Chinese character | 汉字
hòu | After, afterwards, later | 后
huílai | To come back | 回来
hǎochī | Delicious, tasty | 好吃
jiǎnchēng | abbreviation | 简称
jiècí | preposition (prep.) | 介词
jǐ | How many | 几
jīnnián | This year | 今年
jiā | Family | 家
jiào | To call, to be called | 叫
jīntiān | Today | 今天
jiǔ | Nine | 九
kèhào | lesson/course number | 课号
kǒu | A measure word for members of families, etc. | 口
kāi | To drive | 开
kàn | To look at, to watch, to read | 看
kàn jiàn | To see | 看见
kāichē | To drive a car | 开车
kuài | A unit of money, same as “yuan” | 块
liáncí | conjuction (conj.) | 连词
liàngcí | measure (m.) | 量词
lái | To come | 来
lǎoshī | Teacher | 老师
lǐmiàn | In, inside | 里面
le | Used at the end of or in the middle of a sentence to indicate a change or a new circumstance | 了
Lǐ Yuè | Li Yue, name of person | 李月
lěng | Cold | 冷
li | Inner, inside, interior | 里
liù | Six | 六
míngcí | noun (n.) | 名词
Měiguó | The United States of America | 美国
māma | Mother | 妈妈
ma | Used at the end of a question | 吗
méi | There is not | 没
mǎi | To buy, to purchase | 买
māo | Cat | 猫
méi guānxi | That’s OK, it doesn’t matter | 没关系
méiyǒu | There is not | 没有
míngnián | Next year | 明年
mǐfàn | Cooked rice | 米饭
míngzi | Name | 名字
míngtiān | tomorrow | 明天
néngyuàndòngcí | modal verb (mod.) | 能源动词
nǐshēngcí | onomatopoeia (onom.) | 拟声词
nǎ | Which | 哪
nín | (polite) you | 您
nǎr | Where	 | 哪儿
nà | That | 那
nàr | there | 那儿
ne | Used at the end of a question | 呢
nǐmen | (plural) you | 你们
néng | Can, may | 能
nǐ | (singular) you | 你
nián | Year | 年
nǐ hǎo | Hello (polite/formal) | 你好
nǐ men hǎo | Hello (to a group) | 你们好
nǚ'ér | Daughter | 女儿
pīnyīn | Pinyin | 拼音
péngyou | Friend | 朋友
piàoliang | Beautiful, pretty | 漂亮
péngyǒumen | friends | 朋友们
píngguǒ | apple | 苹果
qiánzhuì | prefix (pref.) | 前缀
qī | Seven | 七
qiánmiàn | Front | 前面
qián | Before, earlier than | 前
qián | Money | 钱
qiántiān | The day before yesterday | 前天
qǐng | (polite) please | 请
qù | To go | 去
rè | Hot | 热
rén | Human, person | 人
rènshi | To meet, to know | 认识
shùcí | numeral (num.) | 数词
shùliàngcí | quantifier (num.-m.) | 数量词
sān | Three | 三
shāngdiàn | Shop, store | 商店
shang | Up, above | 上
shàngwǔ | Morning, before noon | 上午
shǎo | Little, few | 少
shéi | Who, whom | 谁
shénme | What | 什么
shēntī | body | 身体
shuōhuà | To say | 说话
shí | Ten | 十
shíhou | Time, moment | 时候
shūdiàn | bookstore | 书店
shì | To be | 是
shū | Book | 书
shàngmiàn | above | 上面
shuǐ | Water | 水
shuǐguǒ | Fruit | 水果
shuì jiao | To sleep | 睡觉
shuō | To speak, to say | 说
sì | Four | 四
suì | Year (of age) | 岁
tàncí | interjection (int.) | 叹词
tā | He, him | 他
tā | She, her | 她
tài | Too, excessively | 太
tài…..le | Too, excessively | 太…..了
tiānqì | Weather | 天气
tāmen | (masculine) them | 他们
tīngjiàn | hear | 听见
tāmen | (feminine) them | 她们
tīng | To listen | 听
tóngxué | Classmate | 同学
wèi | Hello, hey | 喂
wǒ | I, me | 我
wǒmen | We, us | 我们
Wáng Fāng | Wang Fang, name of a person | 王方
wǔ | Five | 五
wèn | To ask, to inquire | 问
xíngróngcí | adjective (adj.) | 形容词
xǐhuan | To like, to be fond of | 喜欢
xià | Under, below | 下
xuéshēngmen | Students | 学生们
xiàwǔ | Afternoon | 下午
xià yǔ | To rain | 下雨
xiānsheng | Mr., sir | 先生
xuéchē | Learning to drive | 学车
xiànzài | Now | 现在
xiǎng | To want, would like | 想
xiǎo | Small, little | 小
xiǎojiě | Miss, young lady | 小姐
xiē | Some, a few | 些
xiě | To write | 写
xièxie | To thank | 谢谢
xīngqī | Week | 星期
xuésheng | student | 学生
xuéxí | To study, to learn | 学习
xuéxiào | School | 学校
xià | (of rain, snow, etc.) to fall | 下
xiàmiàn | Under, below | 下面
xué | To study, to learn | 学
yī | One | 一
yīfu | Clothes | 衣服
yīshēng | Doctor | 医生
yīyuàn | hospital | 医院
yǐzi | Chair | 椅子
yìdiǎnr | A few, a little | 一点儿
yǒu | To have, there be | 有
yǒudiǎnr | Kind of | 有点儿
yuè | month | 月
yě | Also, too | 也
yìqǐ | together | 一起
yǔ | Rain | 雨
zhèr | Here | 这儿
zhèxiē | these | 这些
zhùcí | particle (part.) | 助词
zàijiàn | To see you around | 再见
zài | To be in/on/at; in/on/at | 在
zěnme | (indicating nature, condition or manner, etc.) how | 怎么
zhème | So | 这么
zěnmeyàng | (indicating nature, condition or manner) how | 怎么样
zuò fàn | cook | 做饭
zhèyàng | so | 这样
zhè | This | 这
zhōngwǔ | Noon | 中午
zhù | To live, to stay | 住
zhuōzi | Desk, table | 桌子
zì | Character, word | 字
zuótiān | Yesterday | 昨天
zuò | To sit, to be seated | 坐
zuò | To make, to produce | 做
Zhāng | Zhang, a common Chinese family name | 张
Zhōngguó | China | 中国

[[front]Question | [back]Answer]
Answer in Chinese: 你叫什么名字？ | 
Answer in Chinese: 你是中国人吗？ | 
Answer in Chinese: 你是美国人？ | 
Answer in Chinese: 你是学生吗？ | 
Answer in Chinese: 你是老师吗？ | 
Answer in Chinese: 你是学生吗？ | 
Answer in Chinese: 你是哪国人？ | 
Answer in Chinese: 你的汉语老师是哪国人？ | 
Answer in Chinese: 你的汉语老师叫什么名字？ | 
Answer in Chinese: 你家有几口人？ | 
Answer in Chinese: 你今年多大了？ | 
Answer in Chinese: 你会说汉语吗？ | 
Answer in Chinese: 你会写汉字吗？ | 
Answer in Chinese: 你会做中国菜吗？ | 
Answer in Chinese: 你有汉语名字吗？ | 
Answer in Chinese: 你会写你的汉语名字吗？ | 
Answer in Chinese: 今天几月几号星期几？ | 
Answer in Chinese: 明天你去哪儿做什么？ | 
Answer in Chinese: 星期日你去哪儿做什么？ | 
Answer in Chinese: 你想吃什么？ | 
Answer in Chinese: 你想和什么？ | 
Answer in Chinese: 明天下午你想做什么？ | 
Answer in Chinese: 你去哪个商店买被子？ | 
Answer in Chinese: 一个被子多少钱？ | 
Answer in Chinese: 小狗在哪儿？ | 
Answer in Chinese: 他在哪儿工作？ | 
Answer in Chinese: 他儿子在哪儿工作？ | 
Answer in Chinese: 他爸爸在家吗？ | 
Answer in Chinese: 电脑在哪儿？ | 
Answer in Chinese: 书在哪儿？ | 
Answer in Chinese: 卓资里面有什么？ | 
Answer in Chinese: 哪个认识王方？ | 
Answer in Chinese: 现在几点？ | 
Answer in Chinese: 他们几点吃饭？ | 
Answer in Chinese: 爸爸什么时候会家？ | 
Answer in Chinese: 昨天北京的天气怎嘛样？ | 
Answer in Chinese: 明天天气怎嘛样？ | 
Answer in Chinese: 今天会下雨吗？ | 
Answer in Chinese: 你的身体怎嘛样？ | 
Answer in Chinese: 大卫在做什么呢？ | 
Answer in Chinese: 昨天上午他在看书吗？ | 
Answer in Chinese: 李老师的电话号码是多少？ | 
Answer in Chinese: 昨天上午她去哪儿了？ | 
Answer in Chinese: 她买什么了？ | 
Answer in Chinese: 张先生什么时候能回来？ | 
Answer in Chinese: 他们是什么时候认识的？ | 
Answer in Chinese: 他们是在哪儿认识的？ | 
Answer in Chinese: 他们是怎么去饭店的？ | 
Answer in Chinese: 李先生是坐出租车去饭店的吗？ | 
Answer in Chinese: 李小姐是怎么来北京的？ | 
Translate: 你叫什么名字？我叫李月。 |  What is your name? My name is Li Yue.
Translate: 你是老师吗？我不是老师，我是学生。 |  Are you a teacher? No, I’m not. I’m a student.
Translate: 你是中国人吗？我不是中国人，我是美国人。 |  Are you Chinese? No, I’m not. I’m American.
Translate: 这是什么？  |  What is this?/This is what?
Translate: 这是什么书？ |  What book is this?
Translate: 中国朋友  |  Chinese Friend
Translate: 她是谁？ |  Who is she?
Translate: 她是我的汉语老师，她叫李月。 |  She is my Chinese teacher. Her name is Li Yue.
Translate: 你是哪国人？ |  Which country are you from?
Translate: 我是美国人。你呢？ |  I’m from the United States. What about you?
Translate: 他是我同学。 |  He is my classmate.
Translate: 她呢？她是你同学吗？ |  What about her? Is she your classmate?
Translate: 她不是我同学，她是我朋友。 |  No she is not my classmate. She is my friend.
Translate: 谁是李月？ |  Who is Li Yue?
Translate: 哪本书？  |  Which book?
Translate: 她是我朋友。 |  She is my friend.
Translate: 六口人  |  Six people
Translate: 七十岁  |  Seventy years old
Translate: 你家有几口人？  |  How many people are there in your family?
Translate: 我家有三口人。 |  There are three people in my family.
Translate: 你女儿几岁了？ |  How old is your daughter?
Translate: 她今年四岁了。  |  She is four years old.
Translate: 李老师多大了？  |  How old is Professor Li?
Translate: 她今年50岁了。 |  She is 50 years old.
Translate: 她女儿呢？ |  What about her daughter?
Translate: 她女儿今年20岁。 |  Her daughter is 20.
Translate: 二十三  |  23
Translate: 五十六  |  56
Translate: 做中国菜  |  Cook Chinese food
Translate: 你会说汉语吗？ |  Can you speak Chinese?
Translate: 我会说汉语。 |  Yes, I can speak Chinese.
Translate: 你妈妈会说汉语吗？ |  Can your mother speak Chinese?
Translate: 她不会说。 |  No, she can’t speak Chinese.
Translate: 中国菜好吃吗？ |  Is Chinese food delicious?
Translate: 中国菜很好吃。 |  Yes, Chinese food is delicious?
Translate: 你会做中国菜吗？ |  Can you cook Chinese food?
Translate: 你会写汉字吗？ |  Can you write Chinese characters?
Translate: 这个字怎么写？ |  How do you write this character?
Translate: 对不起，这个字我会读，不会写。 |  Sorry. I can read it, but I don’t know how to write it.
Translate: 请问， 今天几号？ |  Excuse me, what’s the date today?
Translate: 今天9月1好。 |  Today is September 1st.
Translate: 今天星期几？ |  What day is it today?
Translate: 星期三。  |  Wednesday
Translate: 昨天是几月几号？ |  What was the date yesterday?
Translate: 昨天是8月31号，星期二。 |  It was Tuesday, August 31st.
Translate: 明天呢？ |  What about tomorrow?
Translate: 明天是9月2号，星期四。 |  It’s Thursday, September 2nd.
Translate: 明天星期六，你去学校吗？ |  Tomorrow is Saturday, Will you go to school?
Translate: 我去学校。 |  Yes, I will go to school.
Translate: 你去学校做什么？ |  What are you going to do at school?
Translate: 我去学校看书。 |  I’m going to school to read some books
Translate: 你想喝什么？ |  What would you like to drink?
Translate: 我想喝茶。 |  I’d like some tea
Translate: 你想吃什么？ |  What would you like to eat?
Translate: 我想吃米饭。 |  I’d like rice.
Translate: 下午你想做什么？ |  What would you like to do this afternoon?
Translate: 下午我想去商店。  |  I’d like to go shopping this afternoon.
Translate: 你想买什么？ |  What do you want to buy?
Translate: 我想买一个被子。 |  I want to buy a cup.
Translate: 这个被子多少钱？ |  How much is this cup?
Translate: 28快。 |  28 yuan.
Translate: 那个被子多少钱？ |  How much is that cup?
Translate: 那个被子18块钱。  |  That cup is 18 yuan.
Translate: 小猫在哪儿？ |  Where is the kitty?
Translate: 小猫在哪儿？ |  The kitty is over there.
Translate: 小狗在椅子下面。 |  The puppy is under the chair.
Translate: 你在哪儿工作？ |  Where do you work?
Translate: 我在学校工作。 |  I work in a school.
Translate: 你儿子在哪儿工作？ |  Where does your son work?
Translate: 我儿子在医院工作， 他是医生。 |  My son works in a hospital. He is a doctor.
Translate: 你爸爸在家吗？ |  Is your father at home?
Translate: 不在家。 |  No, he isn’t.
Translate: 他在哪儿呢？ |  Where is he?
Translate: 他在医院。 |  He is in the hospital.
Translate: 桌子上有什么？ |  What are there on the desk?
Translate: 桌子上有一个电脑和一本书。 |  There is a computer and a book.
Translate: 被子在哪儿？ |  Where is the cup?
Translate: 被子在桌子里。 |  The cup is on the desk.
Translate: 前面那个人叫什么名字？ |  Who is the person in the front?
Translate: 她叫王方，在医院工作。 |  She is Wang Fang. She works in a hospital.
Translate: 后面那个人呢？他叫什么名字？ |  What about the person at the back? What’s his name?
Translate: 他叫谢朋，在商店工作。 |  He is Xie Peng. He works in a store.
Translate: 这儿有人马？ |  Is this seat taken?
Translate: 没有。 |  No, it isn’t.
Translate: 我能坐这人吗？ |  Can I sit here?
Translate: 请坐。 |  Yes, Please.
Translate: 现在几点？ |  What’s the time now?
Translate: 现在十点十分。 |  It is 10:10.
Translate: 中午几点吃饭？ |  When shall we have our lunch?
Translate: 十二点吃饭。 |  At 12:00.
